student_id,vehicle_type,entry_time,exit_time,day_of_week,duration_minutes,usual_zone,is_exam_week,parking_behavior
SV1220,Motorbike,2023-12-05 08:04:00,2023-12-05 15:41:49,Tuesday,457,Zone_B,0,Full_Day
SV1694,Motorbike,2023-12-29 07:19:00,2023-12-29 09:24:50,Friday,125,Zone_A,1,Early_Return
SV0117,Motorbike,2023-09-09 11:58:00,2023-09-09 13:12:04,Saturday,74,Zone_D,0,Early_Return
SV0897,Motorbike,2023-12-12 12:34:00,2023-12-14 09:28:44,Tuesday,2694,Zone_A,1,Long_Term
SV0154,Motorbike,2023-12-10 06:39:00,2023-12-10 11:07:14,Sunday,268,Zone_D,0,Full_Day
SV0453,Motorbike,2023-11-29 12:37:00,2023-11-29 20:39:04,Wednesday,482,Zone_B,0,Full_Day
SV0357,Motorbike,2023-09-10 12:35:00,2023-09-10 16:39:35,Sunday,244,Zone_B,0,Full_Day
SV1016,Motorbike,2023-09-04 07:15:00,2023-09-04 15:58:10,Monday,523,Zone_C,0,Full_Day
SV0160,Motorbike,2023-09-24 12:13:00,2023-09-25 09:57:04,Sunday,1304,Zone_B,0,Overnight
SV1601,Motorbike,2023-11-13 07:06:00,2023-11-14 20:15:00,Monday,2229,Zone_A,0,Long_Term
SV1277,Motorbike,2023-10-05 06:25:00,2023-10-05 09:07:14,Thursday,162,Zone_A,0,Early_Return
SV1927,Motorbike,2023-12-26 07:47:00,2023-12-26 11:07:29,Tuesday,200,Zone_B,1,Early_Return
SV1021,Motorbike,2023-09-10 07:56:00,2023-09-10 10:45:44,Sunday,169,Zone_A,0,Early_Return
SV0096,Motorbike,2023-11-01 07:50:00,2023-11-01 09:25:47,Wednesday,95,Zone_C,0,Early_Return
SV0867,Motorbike,2023-09-17 05:46:00,2023-09-17 07:30:38,Sunday,104,Zone_A,0,Early_Return
SV0445,Motorbike,2023-11-15 06:57:00,2023-11-16 06:25:53,Wednesday,1408,Zone_B,0,Overnight
SV1530,Motorbike,2023-12-26 07:33:00,2023-12-26 12:36:49,Tuesday,303,Zone_C,1,Full_Day
SV1063,Motorbike,2023-10-12 13:49:00,2023-10-12 17:18:23,Thursday,209,Zone_C,0,Early_Return
SV0733,Motorbike,2023-09-18 13:11:00,2023-09-18 21:31:03,Monday,500,Zone_B,0,Full_Day
SV1192,Motorbike,2023-10-20 12:59:00,2023-10-20 14:20:59,Friday,81,Zone_A,0,Early_Return
SV1672,Motorbike,2023-11-04 12:53:00,2023-11-04 19:50:33,Saturday,417,Zone_C,0,Full_Day
SV1811,Motorbike,2023-10-24 12:39:00,2023-10-24 17:53:37,Tuesday,314,Zone_B,0,Full_Day
SV0173,Motorbike,2023-12-01 07:25:00,2023-12-01 10:28:25,Friday,183,Zone_B,0,Early_Return
SV0348,Motorbike,2023-11-02 07:23:00,2023-11-03 11:21:43,Thursday,1678,Zone_B,0,Long_Term
SV0058,Motorbike,2023-10-02 06:51:00,2023-10-02 10:09:41,Monday,198,Zone_A,0,Early_Return
SV1683,Motorbike,2023-09-18 06:56:00,2023-09-19 17:20:24,Monday,2064,Zone_D,0,Long_Term
SV1590,Motorbike,2023-09-16 12:40:00,2023-09-16 17:12:01,Saturday,272,Zone_A,0,Full_Day
SV0676,Motorbike,2023-10-28 06:41:00,2023-10-28 12:00:46,Saturday,319,Zone_A,0,Full_Day
SV1947,Motorbike,2023-09-17 07:51:00,2023-09-17 13:12:17,Sunday,321,Zone_A,0,Full_Day
SV0390,Motorbike,2023-11-08 06:15:00,2023-11-08 23:16:08,Wednesday,1021,Zone_C,0,Overnight
SV0877,Motorbike,2023-12-29 07:08:00,2023-12-29 09:05:08,Friday,117,Zone_C,1,Early_Return
SV1485,Motorbike,2023-12-14 06:27:00,2023-12-14 08:08:00,Thursday,101,Zone_C,1,Early_Return
SV0709,Motorbike,2023-12-11 13:32:00,2023-12-14 01:52:23,Monday,3620,Zone_A,1,Long_Term
SV0457,Motorbike,2023-10-21 07:18:00,2023-10-21 08:49:05,Saturday,91,Zone_C,0,Early_Return
SV0034,Motorbike,2023-11-11 05:30:00,2023-11-11 13:39:24,Saturday,489,Zone_C,0,Full_Day
SV0236,Motorbike,2023-12-03 12:36:00,2023-12-03 19:32:59,Sunday,416,Zone_B,0,Full_Day
SV1253,Motorbike,2023-11-05 12:52:00,2023-11-05 21:46:08,Sunday,534,Zone_B,0,Full_Day
SV1359,Motorbike,2023-11-02 13:09:00,2023-11-02 19:53:14,Thursday,404,Zone_D,0,Full_Day
SV0542,Motorbike,2023-10-21 12:39:00,2023-10-21 20:51:37,Saturday,492,Zone_A,0,Full_Day
SV0069,Motorbike,2023-10-23 07:42:00,2023-10-24 17:44:17,Monday,2042,Zone_A,0,Long_Term
SV0111,Motorbike,2023-10-25 07:48:00,2023-10-25 09:15:00,Wednesday,87,Zone_B,0,Early_Return
SV1888,Motorbike,2023-12-02 12:20:00,2023-12-02 19:20:34,Saturday,420,Zone_C,0,Full_Day
SV1490,Motorbike,2023-10-31 07:50:00,2023-10-31 09:43:23,Tuesday,113,Zone_A,0,Early_Return
SV1754,Motorbike,2023-11-12 08:11:00,2023-11-12 14:35:20,Sunday,384,Zone_B,0,Full_Day
SV0107,Motorbike,2023-10-31 07:05:00,2023-11-01 01:31:20,Tuesday,1106,Zone_A,0,Overnight
SV0028,Motorbike,2023-11-27 12:46:00,2023-11-27 17:04:42,Monday,258,Zone_A,0,Full_Day
SV1027,Motorbike,2023-12-19 12:09:00,2023-12-20 01:24:30,Tuesday,795,Zone_A,1,Overnight
SV1063,Motorbike,2023-12-12 06:10:00,2023-12-12 08:30:18,Tuesday,140,Zone_A,1,Early_Return
SV0025,Motorbike,2023-11-06 08:17:00,2023-11-06 15:58:02,Monday,461,Zone_B,0,Full_Day
SV0748,Motorbike,2023-10-11 06:41:00,2023-10-11 09:55:56,Wednesday,194,Zone_A,0,Early_Return
SV0315,Motorbike,2023-12-10 12:38:00,2023-12-13 05:28:21,Sunday,3890,Zone_C,0,Long_Term
SV1688,Motorbike,2023-12-28 05:51:00,2023-12-28 18:04:08,Thursday,733,Zone_D,1,Overnight
SV0006,Motorbike,2023-12-01 13:38:00,2023-12-01 21:44:15,Friday,486,Zone_B,0,Full_Day
SV1050,Motorbike,2023-10-14 06:57:00,2023-10-14 10:22:11,Saturday,205,Zone_A,0,Early_Return
SV0532,Motorbike,2023-10-17 12:38:00,2023-10-17 14:53:54,Tuesday,135,Zone_A,0,Early_Return
SV0259,Motorbike,2023-10-20 07:04:00,2023-10-20 09:26:17,Friday,142,Zone_A,0,Early_Return
SV1192,Motorbike,2023-11-04 08:11:00,2023-11-04 16:09:17,Saturday,478,Zone_C,0,Full_Day
SV1980,Motorbike,2023-11-17 12:26:00,2023-11-20 11:59:52,Friday,4293,Zone_A,0,Long_Term
SV0513,Motorbike,2023-09-22 07:17:00,2023-09-22 15:02:09,Friday,465,Zone_C,0,Full_Day
SV1189,Motorbike,2023-11-17 07:14:00,2023-11-17 13:01:38,Friday,347,Zone_A,0,Full_Day
SV0296,Motorbike,2023-12-13 06:03:00,2023-12-13 13:47:16,Wednesday,464,Zone_A,1,Full_Day
SV1249,Motorbike,2023-11-05 06:49:00,2023-11-05 15:20:56,Sunday,511,Zone_A,0,Full_Day
SV1670,Motorbike,2023-10-21 07:10:00,2023-10-21 09:43:00,Saturday,153,Zone_C,0,Early_Return
SV0420,Motorbike,2023-10-27 06:47:00,2023-10-28 18:42:38,Friday,2155,Zone_A,0,Long_Term
SV0598,Motorbike,2023-09-05 13:16:00,2023-09-05 17:49:11,Tuesday,273,Zone_A,0,Full_Day
SV1720,Motorbike,2023-09-08 06:44:00,2023-09-08 11:52:46,Friday,308,Zone_C,0,Full_Day
SV0095,Motorbike,2023-10-06 06:36:00,2023-10-06 11:30:28,Friday,294,Zone_B,0,Full_Day
SV0712,Motorbike,2023-11-29 12:07:00,2023-11-29 16:53:00,Wednesday,286,Zone_B,0,Full_Day
SV0985,Motorbike,2023-12-13 12:48:00,2023-12-13 15:32:29,Wednesday,164,Zone_C,1,Early_Return
SV1130,Motorbike,2023-10-01 07:21:00,2023-10-01 13:28:14,Sunday,367,Zone_D,0,Full_Day
SV1750,Motorbike,2023-09-01 07:01:00,2023-09-02 02:06:43,Friday,1145,Zone_A,0,Overnight
SV1161,Motorbike,2023-10-27 07:32:00,2023-10-27 09:22:01,Friday,110,Zone_B,0,Early_Return
SV0075,Motorbike,2023-09-07 06:49:00,2023-09-07 21:30:42,Thursday,881,Zone_A,0,Overnight
SV0664,Motorbike,2023-10-22 07:50:00,2023-10-22 16:24:27,Sunday,514,Zone_B,0,Full_Day
SV0662,Car,2023-12-23 12:36:00,2023-12-23 13:48:48,Saturday,72,Zone_B,1,Early_Return
SV1793,Motorbike,2023-12-03 12:11:00,2023-12-03 13:42:29,Sunday,91,Zone_A,0,Early_Return
SV0285,Motorbike,2023-12-02 06:38:00,2023-12-02 14:30:39,Saturday,472,Zone_B,0,Full_Day
SV0988,Motorbike,2023-12-03 07:03:00,2023-12-03 11:49:34,Sunday,286,Zone_C,0,Full_Day
SV1895,Motorbike,2023-09-10 06:26:00,2023-09-10 10:33:36,Sunday,247,Zone_C,0,Full_Day
SV1373,Motorbike,2023-10-27 07:52:00,2023-10-27 13:01:19,Friday,309,Zone_A,0,Full_Day
SV1078,Motorbike,2023-12-10 06:23:00,2023-12-10 07:37:54,Sunday,74,Zone_C,0,Early_Return
SV1144,Motorbike,2023-09-16 07:21:00,2023-09-16 14:41:25,Saturday,440,Zone_A,0,Full_Day
SV0944,Motorbike,2023-11-13 07:09:00,2023-11-13 09:12:12,Monday,123,Zone_C,0,Early_Return
SV1940,Motorbike,2023-09-02 06:22:00,2023-09-02 07:27:08,Saturday,65,Zone_A,0,Early_Return
SV1280,Car,2023-12-07 12:34:00,2023-12-07 19:23:43,Thursday,409,Zone_B,0,Full_Day
SV0736,Motorbike,2023-12-24 07:07:00,2023-12-24 14:49:30,Sunday,462,Zone_B,1,Full_Day
SV1225,Motorbike,2023-12-16 07:33:00,2023-12-16 10:36:23,Saturday,183,Zone_C,1,Early_Return
SV0041,Motorbike,2023-09-17 07:34:00,2023-09-17 09:48:37,Sunday,134,Zone_A,0,Early_Return
SV0342,Motorbike,2023-10-27 06:32:00,2023-10-27 09:06:57,Friday,154,Zone_B,0,Early_Return
SV1425,Motorbike,2023-12-01 13:10:00,2023-12-01 19:16:36,Friday,366,Zone_D,0,Full_Day
SV1729,Motorbike,2023-10-06 13:09:00,2023-10-06 15:57:13,Friday,168,Zone_D,0,Early_Return
SV0055,Motorbike,2023-12-27 06:56:00,2023-12-27 13:21:07,Wednesday,385,Zone_B,1,Full_Day
SV1491,Motorbike,2023-12-16 12:30:00,2023-12-16 18:13:18,Saturday,343,Zone_B,1,Full_Day
SV0061,Motorbike,2023-10-12 08:08:00,2023-10-12 12:30:46,Thursday,262,Zone_A,0,Full_Day
SV1459,Motorbike,2023-12-07 07:29:00,2023-12-07 10:53:18,Thursday,204,Zone_B,0,Early_Return
SV1521,Motorbike,2023-11-01 12:27:00,2023-11-01 15:20:45,Wednesday,173,Zone_C,0,Early_Return
SV1509,Motorbike,2023-11-09 12:53:00,2023-11-09 20:20:57,Thursday,447,Zone_B,0,Full_Day
SV1312,Motorbike,2023-11-10 13:07:00,2023-11-10 19:53:44,Friday,406,Zone_A,0,Full_Day
SV0335,Motorbike,2023-09-09 06:54:00,2023-09-09 14:52:36,Saturday,478,Zone_A,0,Full_Day
SV0995,Motorbike,2023-12-15 06:31:00,2023-12-15 09:08:31,Friday,157,Zone_B,1,Early_Return
SV1837,Motorbike,2023-10-07 05:57:00,2023-10-07 08:22:51,Saturday,145,Zone_B,0,Early_Return
SV0982,Motorbike,2023-11-21 06:21:00,2023-11-21 08:25:01,Tuesday,124,Zone_B,0,Early_Return
SV0739,Motorbike,2023-09-30 06:46:00,2023-10-01 05:57:27,Saturday,1391,Zone_A,0,Overnight
SV0029,Motorbike,2023-12-02 06:24:00,2023-12-02 12:47:56,Saturday,383,Zone_A,0,Full_Day
SV0377,Motorbike,2023-09-25 07:52:00,2023-09-25 11:53:00,Monday,241,Zone_A,0,Full_Day
SV0324,Car,2023-10-07 07:05:00,2023-10-07 11:10:21,Saturday,245,Zone_B,0,Full_Day
SV0817,Motorbike,2023-11-07 06:55:00,2023-11-07 15:18:44,Tuesday,503,Zone_B,0,Full_Day
SV1869,Motorbike,2023-11-10 12:20:00,2023-11-11 23:27:12,Friday,2107,Zone_B,0,Long_Term
SV0885,Motorbike,2023-12-19 06:44:00,2023-12-19 11:39:55,Tuesday,295,Zone_A,1,Full_Day
SV1797,Car,2023-11-26 12:27:00,2023-11-26 21:05:19,Sunday,518,Zone_A,0,Full_Day
SV1514,Motorbike,2023-11-21 12:55:00,2023-11-21 18:02:19,Tuesday,307,Zone_B,0,Full_Day
SV0329,Motorbike,2023-12-10 06:48:00,2023-12-11 05:19:46,Sunday,1351,Zone_A,0,Overnight
SV1673,Motorbike,2023-12-07 13:01:00,2023-12-07 15:23:37,Thursday,142,Zone_B,0,Early_Return
SV0975,Motorbike,2023-09-05 07:32:00,2023-09-05 09:51:53,Tuesday,139,Zone_A,0,Early_Return
SV0796,Motorbike,2023-11-20 07:01:00,2023-11-20 10:16:58,Monday,195,Zone_B,0,Early_Return
SV0040,Motorbike,2023-12-18 13:15:00,2023-12-18 19:51:22,Monday,396,Zone_A,1,Full_Day
SV0571,Motorbike,2023-10-11 07:09:00,2023-10-11 21:25:14,Wednesday,856,Zone_D,0,Overnight
SV0761,Motorbike,2023-09-23 06:41:00,2023-09-23 09:43:59,Saturday,182,Zone_D,0,Early_Return
SV0082,Motorbike,2023-11-17 12:21:00,2023-11-17 16:46:13,Friday,265,Zone_B,0,Full_Day
SV0360,Motorbike,2023-10-30 06:41:00,2023-10-30 09:43:48,Monday,182,Zone_A,0,Early_Return
SV1479,Motorbike,2023-12-05 12:09:00,2023-12-05 19:55:06,Tuesday,466,Zone_A,0,Full_Day
SV0484,Motorbike,2023-11-30 06:48:00,2023-11-30 09:43:38,Thursday,175,Zone_B,0,Early_Return
SV0022,Motorbike,2023-11-21 12:28:00,2023-11-21 20:15:28,Tuesday,467,Zone_A,0,Full_Day
SV1670,Motorbike,2023-10-02 12:56:00,2023-10-02 20:20:59,Monday,444,Zone_A,0,Full_Day
SV1309,Motorbike,2023-12-08 07:13:00,2023-12-09 03:32:27,Friday,1219,Zone_A,0,Overnight
SV0974,Motorbike,2023-11-14 06:44:00,2023-11-14 10:06:37,Tuesday,202,Zone_B,0,Early_Return
SV0021,Motorbike,2023-12-10 06:14:00,2023-12-11 06:02:27,Sunday,1428,Zone_C,0,Overnight
SV1551,Motorbike,2023-10-05 06:39:00,2023-10-05 13:54:30,Thursday,435,Zone_C,0,Full_Day
SV0208,Motorbike,2023-10-30 07:10:00,2023-10-30 15:01:16,Monday,471,Zone_C,0,Full_Day
SV0387,Motorbike,2023-10-14 07:13:00,2023-10-14 15:49:15,Saturday,516,Zone_C,0,Full_Day
SV1177,Motorbike,2023-11-10 06:39:00,2023-11-10 08:09:04,Friday,90,Zone_A,0,Early_Return
SV1014,Motorbike,2023-09-02 13:39:00,2023-09-02 15:25:33,Saturday,106,Zone_A,0,Early_Return
SV0274,Motorbike,2023-11-21 06:12:00,2023-11-21 13:40:29,Tuesday,448,Zone_C,0,Full_Day
SV1416,Car,2023-10-21 07:22:00,2023-10-21 12:34:36,Saturday,312,Zone_A,0,Full_Day
SV0592,Motorbike,2023-12-01 12:38:00,2023-12-01 18:15:56,Friday,337,Zone_A,0,Full_Day
SV1997,Motorbike,2023-11-16 07:00:00,2023-11-16 08:59:32,Thursday,119,Zone_B,0,Early_Return
SV1710,Motorbike,2023-09-15 07:41:00,2023-09-15 11:50:28,Friday,249,Zone_A,0,Full_Day
SV1440,Motorbike,2023-11-15 13:12:00,2023-11-15 15:59:06,Wednesday,167,Zone_A,0,Early_Return
SV0251,Motorbike,2023-11-14 13:24:00,2023-11-14 19:39:41,Tuesday,375,Zone_B,0,Full_Day
SV0874,Motorbike,2023-11-21 07:05:00,2023-11-21 12:19:07,Tuesday,314,Zone_C,0,Full_Day
SV0122,Motorbike,2023-12-19 07:15:00,2023-12-19 09:53:48,Tuesday,158,Zone_B,1,Early_Return
SV0914,Motorbike,2023-10-07 12:27:00,2023-10-07 21:19:26,Saturday,532,Zone_A,0,Full_Day
SV0035,Motorbike,2023-10-24 06:52:00,2023-10-24 10:02:14,Tuesday,190,Zone_C,0,Early_Return
SV0404,Motorbike,2023-12-01 06:09:00,2023-12-01 15:05:17,Friday,536,Zone_C,0,Full_Day
SV0608,Motorbike,2023-12-26 07:45:00,2023-12-26 15:42:53,Tuesday,477,Zone_D,1,Full_Day
SV0186,Motorbike,2023-09-12 07:49:00,2023-09-13 01:24:23,Tuesday,1055,Zone_A,0,Overnight
SV0794,Motorbike,2023-12-21 06:18:00,2023-12-21 12:51:47,Thursday,393,Zone_A,1,Full_Day
SV0553,Motorbike,2023-10-30 07:43:00,2023-10-30 10:11:56,Monday,148,Zone_B,0,Early_Return
SV1767,Motorbike,2023-11-28 13:09:00,2023-11-28 14:57:46,Tuesday,108,Zone_A,0,Early_Return
SV0301,Motorbike,2023-10-01 06:22:00,2023-10-01 07:33:01,Sunday,71,Zone_B,0,Early_Return
SV1802,Motorbike,2023-12-14 07:19:00,2023-12-14 14:51:01,Thursday,452,Zone_A,1,Full_Day
SV1145,Motorbike,2023-10-17 12:03:00,2023-10-17 18:25:23,Tuesday,382,Zone_C,0,Full_Day
SV0156,Motorbike,2023-09-06 06:50:00,2023-09-06 19:31:06,Wednesday,761,Zone_D,0,Overnight
SV0797,Motorbike,2023-10-05 06:43:00,2023-10-05 15:23:09,Thursday,520,Zone_B,0,Full_Day
SV1230,Motorbike,2023-09-20 12:49:00,2023-09-20 21:09:22,Wednesday,500,Zone_B,0,Full_Day
SV1202,Motorbike,2023-10-08 07:13:00,2023-10-08 08:17:29,Sunday,64,Zone_C,0,Early_Return
SV0746,Motorbike,2023-09-08 12:53:00,2023-09-08 19:06:07,Friday,373,Zone_A,0,Full_Day
SV1826,Motorbike,2023-12-28 12:25:00,2023-12-28 19:49:58,Thursday,444,Zone_B,1,Full_Day
SV1672,Motorbike,2023-12-22 07:05:00,2023-12-23 03:12:05,Friday,1207,Zone_B,1,Overnight
SV1077,Car,2023-12-14 07:13:00,2023-12-14 14:30:21,Thursday,437,Zone_A,1,Full_Day
SV1609,Motorbike,2023-11-28 12:55:00,2023-11-29 09:46:41,Tuesday,1251,Zone_B,0,Overnight
SV0494,Motorbike,2023-09-19 13:28:00,2023-09-20 10:36:50,Tuesday,1268,Zone_B,0,Overnight
SV1355,Motorbike,2023-10-24 07:33:00,2023-10-24 14:35:56,Tuesday,422,Zone_A,0,Full_Day
SV0605,Motorbike,2023-10-19 06:16:00,2023-10-19 12:29:19,Thursday,373,Zone_B,0,Full_Day
SV0968,Motorbike,2023-11-13 14:19:00,2023-11-13 23:04:26,Monday,525,Zone_D,0,Full_Day
SV1245,Motorbike,2023-09-12 07:00:00,2023-09-12 09:18:59,Tuesday,138,Zone_B,0,Early_Return
SV0043,Motorbike,2023-11-09 12:50:00,2023-11-09 20:56:43,Thursday,486,Zone_C,0,Full_Day
SV1141,Motorbike,2023-09-25 13:39:00,2023-09-26 06:12:39,Monday,993,Zone_B,0,Overnight
SV0787,Motorbike,2023-11-07 06:30:00,2023-11-07 09:30:27,Tuesday,180,Zone_A,0,Early_Return
SV1444,Motorbike,2023-09-02 06:26:00,2023-09-02 12:30:03,Saturday,364,Zone_A,0,Full_Day
SV1375,Motorbike,2023-10-09 06:41:00,2023-10-10 01:29:27,Monday,1128,Zone_D,0,Overnight
SV1476,Motorbike,2023-10-24 07:09:00,2023-10-24 08:15:30,Tuesday,66,Zone_D,0,Early_Return
SV0887,Motorbike,2023-09-21 12:23:00,2023-09-21 19:26:17,Thursday,423,Zone_C,0,Full_Day
SV0584,Motorbike,2023-10-19 06:40:00,2023-10-19 14:34:09,Thursday,474,Zone_C,0,Full_Day
SV1084,Motorbike,2023-11-28 06:34:00,2023-11-28 13:29:58,Tuesday,415,Zone_C,0,Full_Day
SV1250,Motorbike,2023-09-21 08:04:00,2023-09-21 12:11:05,Thursday,247,Zone_B,0,Full_Day
SV1184,Motorbike,2023-11-12 06:57:00,2023-11-12 15:53:20,Sunday,536,Zone_B,0,Full_Day
SV1859,Motorbike,2023-10-09 14:02:00,2023-10-09 18:06:44,Monday,244,Zone_C,0,Full_Day
SV1604,Motorbike,2023-10-12 12:22:00,2023-10-12 19:35:35,Thursday,433,Zone_B,0,Full_Day
SV1377,Motorbike,2023-10-11 07:26:00,2023-10-11 09:32:21,Wednesday,126,Zone_B,0,Early_Return
SV0428,Motorbike,2023-09-21 07:50:00,2023-09-21 09:24:37,Thursday,94,Zone_A,0,Early_Return
SV1154,Motorbike,2023-09-02 07:26:00,2023-09-05 07:12:59,Saturday,4306,Zone_A,0,Long_Term
SV0662,Motorbike,2023-10-06 13:24:00,2023-10-06 18:15:08,Friday,291,Zone_B,0,Full_Day
SV0055,Motorbike,2023-09-17 07:20:00,2023-09-17 16:14:22,Sunday,534,Zone_A,0,Full_Day
SV1303,Motorbike,2023-12-13 07:25:00,2023-12-13 12:38:05,Wednesday,313,Zone_A,1,Full_Day
SV0406,Motorbike,2023-12-12 13:07:00,2023-12-12 15:38:16,Tuesday,151,Zone_A,1,Early_Return
SV0509,Motorbike,2023-12-06 06:25:00,2023-12-06 08:16:56,Wednesday,111,Zone_B,0,Early_Return
SV0835,Motorbike,2023-09-23 11:58:00,2023-09-23 20:20:00,Saturday,502,Zone_C,0,Full_Day
SV0143,Motorbike,2023-12-10 05:44:00,2023-12-12 07:38:25,Sunday,2994,Zone_B,0,Long_Term
SV1694,Motorbike,2023-11-06 12:45:00,2023-11-06 18:16:24,Monday,331,Zone_B,0,Full_Day
SV0578,Motorbike,2023-10-05 07:01:00,2023-10-05 10:04:22,Thursday,183,Zone_C,0,Early_Return
SV0164,Motorbike,2023-11-04 07:05:00,2023-11-04 14:54:26,Saturday,469,Zone_B,0,Full_Day
SV1961,Motorbike,2023-09-13 07:15:00,2023-09-13 13:24:44,Wednesday,369,Zone_B,0,Full_Day
SV1682,Motorbike,2023-11-02 07:01:00,2023-11-02 08:33:24,Thursday,92,Zone_B,0,Early_Return
SV0467,Motorbike,2023-09-05 12:24:00,2023-09-05 21:22:27,Tuesday,538,Zone_B,0,Full_Day
SV0457,Motorbike,2023-09-09 06:58:00,2023-09-09 11:34:24,Saturday,276,Zone_A,0,Full_Day
SV1104,Motorbike,2023-12-06 06:13:00,2023-12-06 13:20:10,Wednesday,427,Zone_B,0,Full_Day
SV1087,Motorbike,2023-11-02 07:27:00,2023-11-02 12:25:23,Thursday,298,Zone_B,0,Full_Day
SV1550,Motorbike,2023-11-25 12:27:00,2023-11-25 14:29:47,Saturday,122,Zone_B,0,Early_Return
