duration_minutes,is_exam_week,entry_hour,entry_minute,day_of_week_num,is_weekend,is_morning,rolling_avg_duration,historical_overnight_count,vehicle_type_Motorbike,usual_zone_Zone_B,usual_zone_Zone_C,usual_zone_Zone_D
148,0,12,50,6,1,0,399.5,0.0,1,0,0,1
198,1,7,28,5,1,1,315.6666666666667,0.0,1,1,0,0
519,1,13,11,2,0,0,286.25,0.0,1,0,1,0
176,1,12,16,1,0,0,332.8,0.0,1,0,0,0
441,0,6,33,5,1,1,485.4906,0.0,1,0,1,0
156,0,6,3,2,0,1,441.0,0.0,1,0,0,0
68,0,7,35,5,1,1,298.5,0.0,1,0,0,0
275,0,13,6,1,0,0,221.66666666666666,0.0,1,1,0,0
152,0,13,10,6,1,0,235.0,0.0,1,0,0,0
74,0,13,21,6,1,0,218.4,0.0,1,0,0,0
253,1,7,20,2,0,1,145.0,0.0,1,0,0,1
967,1,6,59,5,1,1,164.4,0.0,1,1,0,0
263,1,7,2,2,0,1,344.2,1.0,1,0,0,0
337,0,7,11,2,0,1,485.4906,1.0,1,1,0,0
127,0,13,5,5,1,0,337.0,0.0,1,0,1,0
454,0,6,57,2,0,1,232.0,0.0,1,0,0,0
374,0,13,57,2,0,0,306.0,0.0,1,0,0,0
406,0,6,36,6,1,1,323.0,0.0,1,0,0,0
154,0,13,12,5,1,0,339.6,0.0,1,1,0,0
364,0,7,10,3,0,1,303.0,0.0,1,1,0,0
120,0,7,25,6,1,1,350.4,0.0,1,1,0,0
767,0,13,5,6,1,0,283.6,0.0,1,0,1,0
734,0,12,46,2,0,0,362.2,1.0,1,1,0,0
267,1,7,3,4,0,1,427.8,2.0,1,1,0,0
361,1,13,2,3,0,0,450.4,2.0,1,0,0,0
1905,0,12,30,0,0,0,485.4906,2.0,1,0,0,1
464,0,7,2,1,0,1,1905.0,0.0,1,0,1,0
159,0,6,30,2,0,1,1184.5,0.0,1,0,0,1
506,0,13,22,6,1,0,842.6666666666666,0.0,1,0,0,1
153,0,7,23,0,0,1,758.5,0.0,1,0,0,0
130,0,6,29,0,0,1,637.4,0.0,1,0,0,1
920,0,6,52,4,0,1,282.4,0.0,1,0,0,0
244,1,13,15,1,0,0,373.6,1.0,1,1,0,0
382,1,13,41,1,0,0,390.6,1.0,1,0,1,0
1163,0,7,21,3,0,1,485.4906,1.0,1,0,0,0
168,0,13,2,0,0,0,1163.0,1.0,1,0,0,0
184,0,6,15,4,0,1,665.5,1.0,1,0,1,0
382,0,6,24,1,0,1,505.0,1.0,1,0,0,0
114,0,6,55,6,1,1,474.25,1.0,1,0,0,0
960,0,7,4,3,0,1,402.2,1.0,1,1,0,0
133,0,7,26,5,1,1,361.6,2.0,1,0,0,0
71,0,7,3,2,0,1,354.6,2.0,1,0,0,0
209,0,6,44,4,0,1,332.0,2.0,1,0,0,0
152,1,7,8,1,0,1,297.4,2.0,1,0,1,0
76,1,7,19,3,0,1,305.0,2.0,1,0,0,0
67,1,7,3,2,0,1,128.2,2.0,1,1,0,0
968,0,12,30,5,1,0,485.4906,2.0,1,0,0,0
102,0,6,43,4,0,1,968.0,1.0,1,0,0,0
371,0,7,0,5,1,1,535.0,1.0,1,1,0,0
303,0,12,41,3,0,0,480.3333333333333,1.0,1,0,0,0
488,0,7,24,5,1,1,436.0,1.0,1,0,1,0
170,0,12,31,5,1,0,446.4,1.0,1,1,0,0
472,1,7,3,0,0,1,286.8,1.0,1,1,0,0
3370,0,6,57,5,1,1,485.4906,1.0,1,1,0,0
465,0,7,32,1,0,1,3370.0,0.0,1,0,1,0
137,0,11,53,5,1,1,1917.5,0.0,1,0,0,0
1201,0,6,13,2,0,1,1324.0,0.0,1,0,1,0
166,0,12,40,2,0,0,1293.25,1.0,1,1,0,0
165,0,13,3,5,1,0,1067.8,1.0,1,1,0,0
453,0,7,52,2,0,1,426.8,1.0,1,0,0,0
146,0,7,22,1,0,1,424.4,1.0,1,1,0,0
132,0,7,54,4,0,1,426.2,1.0,1,0,0,0
156,1,12,55,2,0,0,212.4,1.0,1,0,1,0
424,0,6,43,2,0,1,485.4906,1.0,1,1,0,0
157,0,7,45,4,0,1,424.0,0.0,1,1,0,0
310,0,13,42,6,1,0,290.5,0.0,1,0,1,0
108,0,13,7,0,0,0,297.0,0.0,1,1,0,0
79,0,7,21,3,0,1,249.75,0.0,1,0,0,0
364,0,7,27,6,1,1,215.6,0.0,1,0,1,0
170,0,13,12,1,0,0,203.6,0.0,1,0,0,0
493,1,6,43,2,0,1,206.2,0.0,1,0,1,0
531,1,7,7,3,0,1,242.8,0.0,1,0,0,0
348,0,12,56,5,1,0,485.4906,0.0,1,0,1,0
143,0,12,18,1,0,0,348.0,0.0,1,0,1,0
366,0,7,10,0,0,1,245.5,0.0,1,0,0,0
488,0,6,58,1,0,1,285.6666666666667,0.0,1,0,0,0
347,1,12,13,0,0,0,336.25,0.0,1,0,0,0
438,0,13,40,3,0,0,485.4906,0.0,1,0,0,0
345,0,12,31,4,0,0,438.0,0.0,1,0,1,0
534,0,12,33,0,0,0,391.5,0.0,1,0,0,0
1428,0,6,14,6,1,1,439.0,0.0,1,0,1,0
126,0,6,34,4,0,1,485.4906,1.0,1,0,1,0
897,0,12,20,6,1,0,126.0,0.0,1,0,1,0
83,0,7,2,3,0,1,511.5,1.0,1,0,1,0
300,0,11,50,3,0,1,368.6666666666667,1.0,1,0,1,0
115,0,14,2,5,1,0,351.5,1.0,1,1,0,0
401,0,6,54,1,0,1,304.2,1.0,1,1,0,0
467,0,12,28,1,0,0,359.2,1.0,1,0,0,0
164,0,13,10,5,1,0,273.2,1.0,1,0,0,0
446,1,6,51,5,1,1,289.4,1.0,1,0,1,0
183,0,6,27,0,0,1,485.4906,1.0,1,0,1,0
147,0,7,36,0,0,1,183.0,0.0,1,0,1,0
113,0,6,31,2,0,1,165.0,0.0,1,1,0,0
1366,0,6,57,3,0,1,147.66666666666666,0.0,1,0,0,0
1119,0,5,51,0,0,1,452.25,1.0,1,0,0,0
305,0,6,22,2,0,1,485.4906,2.0,1,0,0,0
180,0,11,49,5,1,1,305.0,0.0,1,0,0,1
174,0,12,42,6,1,0,242.5,0.0,1,0,0,1
406,0,12,4,2,0,0,219.66666666666666,0.0,1,1,0,0
527,0,6,42,5,1,1,266.25,0.0,1,1,0,0
526,0,13,43,2,0,0,318.4,0.0,1,1,0,0
293,1,6,37,0,0,1,362.6,0.0,1,0,1,0
65,1,6,41,2,0,1,385.2,0.0,1,0,0,0
264,0,6,58,0,0,1,485.4906,0.0,1,0,0,0
487,0,13,25,0,0,0,264.0,0.0,1,0,1,0
318,0,7,50,2,0,1,375.5,0.0,1,0,0,0
99,0,12,14,6,1,0,356.3333333333333,0.0,1,0,1,0
140,0,13,56,5,1,0,292.0,0.0,1,0,1,0
192,0,6,1,6,1,1,261.6,0.0,1,1,0,0
72,0,12,2,0,0,0,247.2,0.0,1,0,0,0
132,0,6,35,0,0,1,164.2,0.0,1,0,1,0
139,0,13,41,6,1,0,127.0,0.0,1,0,1,0
461,0,8,17,0,0,1,135.0,0.0,1,1,0,0
121,0,12,25,3,0,0,199.2,0.0,1,1,0,0
119,0,12,19,3,0,0,185.0,0.0,1,0,0,0
386,0,13,19,6,1,0,194.4,0.0,1,0,0,0
84,1,6,35,5,1,1,245.2,0.0,1,0,0,0
70,1,8,7,1,0,1,234.2,0.0,1,1,0,0
270,0,12,21,0,0,0,485.4906,0.0,1,1,0,0
98,0,12,15,0,0,0,270.0,0.0,1,0,0,0
411,0,6,30,2,0,1,184.0,0.0,1,0,1,0
2013,0,11,59,5,1,1,259.6666666666667,0.0,1,0,1,0
187,1,12,32,0,0,0,698.0,0.0,1,0,0,0
321,1,6,47,2,0,1,595.8,0.0,1,1,0,0
277,0,13,47,1,0,0,485.4906,0.0,1,0,0,1
326,0,7,54,5,1,1,277.0,0.0,1,0,1,0
532,0,12,33,1,0,0,301.5,0.0,1,0,0,1
175,0,7,8,0,0,1,378.3333333333333,0.0,1,0,0,0
147,0,6,58,0,0,1,327.5,0.0,1,0,1,0
62,0,7,16,4,0,1,291.4,0.0,1,0,0,0
426,0,7,9,0,0,1,248.4,0.0,1,0,0,0
252,0,6,48,4,0,1,485.4906,0.0,1,0,0,0
360,0,12,34,5,1,0,252.0,0.0,1,0,0,0
182,0,7,25,6,1,1,306.0,0.0,1,0,0,0
62,0,6,54,1,0,1,264.6666666666667,0.0,1,0,0,0
465,0,7,58,5,1,1,214.0,0.0,1,1,0,0
198,0,6,25,5,1,1,264.2,0.0,1,0,0,0
419,0,6,53,3,0,1,253.4,0.0,1,0,0,0
1002,0,5,55,4,0,1,265.2,0.0,1,0,0,0
97,0,13,43,0,0,0,429.2,1.0,1,1,0,0
479,0,6,41,6,1,1,436.2,1.0,1,1,0,0
258,0,12,46,0,0,0,439.0,1.0,1,0,0,0
471,1,12,16,0,0,0,451.0,1.0,1,0,1,0
388,1,13,21,0,0,0,461.4,1.0,1,0,1,0
337,1,6,41,4,0,1,338.6,1.0,1,0,0,0
82,1,6,55,5,1,1,386.6,1.0,1,1,0,0
521,0,11,33,5,1,1,485.4906,1.0,1,0,0,0
298,0,6,49,2,0,1,521.0,0.0,1,0,0,0
2587,0,11,56,3,0,1,409.5,0.0,1,1,0,0
172,0,12,58,4,0,0,1135.3333333333333,0.0,1,0,0,0
331,0,12,19,2,0,0,894.5,0.0,1,0,1,0
383,0,6,24,5,1,1,781.8,0.0,1,0,0,0
77,0,7,0,5,1,1,754.2,0.0,1,0,0,0
314,0,6,29,6,1,1,710.0,0.0,1,0,1,0
840,1,7,5,4,0,1,255.4,0.0,1,0,0,0
438,0,12,41,4,0,0,485.4906,1.0,1,1,0,0
270,0,6,32,6,1,1,438.0,0.0,1,0,0,0
132,0,12,24,5,1,0,354.0,0.0,1,0,0,1
322,0,12,37,2,0,0,280.0,0.0,1,0,0,0
300,0,6,58,0,0,1,290.5,0.0,1,0,0,0
519,0,13,13,4,0,0,292.4,0.0,1,1,0,0
336,0,6,46,6,1,1,308.6,0.0,1,1,0,0
313,1,7,20,1,0,1,321.8,0.0,1,0,0,0
330,1,6,43,3,0,1,358.0,0.0,1,1,0,0
2422,0,6,51,6,1,1,485.4906,0.0,1,1,0,0
440,0,12,31,1,0,0,2422.0,0.0,1,0,0,0
68,0,6,24,1,0,1,1431.0,0.0,1,0,0,0
132,0,6,56,5,1,1,976.6666666666666,0.0,1,1,0,0
166,1,13,3,1,0,0,765.5,0.0,1,1,0,0
2337,0,13,0,6,1,0,485.4906,0.0,1,1,0,0
151,0,12,25,2,0,0,2337.0,0.0,1,0,0,0
321,0,12,7,0,0,0,1244.0,0.0,1,0,1,0
428,0,6,36,1,0,1,936.3333333333334,0.0,1,0,1,0
819,0,7,16,2,0,1,809.25,0.0,1,1,0,0
175,0,6,37,0,0,1,811.2,1.0,1,0,0,0
314,0,11,43,1,0,1,378.8,1.0,1,1,0,0
3253,0,7,1,3,0,1,411.4,1.0,0,0,0,0
98,0,12,40,1,0,0,485.4906,1.0,1,0,1,0
282,0,7,13,1,0,1,98.0,0.0,1,0,0,0
1588,0,6,51,1,0,1,190.0,0.0,1,0,0,0
481,0,7,22,6,1,1,656.0,0.0,1,0,1,0
421,0,7,31,4,0,1,485.4906,0.0,1,0,1,0
271,0,12,1,6,1,0,421.0,0.0,1,1,0,0
910,0,13,42,2,0,0,346.0,0.0,1,1,0,0
489,0,5,30,5,1,1,534.0,1.0,1,0,1,0
180,0,6,55,5,1,1,522.75,1.0,1,0,0,0
174,0,7,31,1,0,1,454.2,1.0,1,0,0,0
139,0,6,49,4,0,1,404.8,1.0,1,0,0,0
396,0,7,7,2,0,1,378.4,1.0,1,0,1,0
191,0,12,45,2,0,0,485.4906,1.0,1,1,0,0
738,0,6,38,5,1,1,191.0,0.0,1,0,0,1
83,0,6,16,4,0,1,464.5,1.0,1,1,0,0
190,0,6,52,1,0,1,337.3333333333333,1.0,1,0,1,0
116,0,7,13,6,1,1,300.5,1.0,1,0,0,0
250,0,13,18,3,0,0,263.6,1.0,1,0,0,0
207,0,6,43,2,0,1,275.4,1.0,1,0,1,0
514,0,8,7,3,0,1,169.2,1.0,1,0,0,1
106,1,12,36,5,1,0,255.4,1.0,1,1,0,0
424,1,6,19,0,0,1,238.6,1.0,1,1,0,0
298,0,8,26,5,1,1,485.4906,1.0,1,0,0,0
253,0,6,47,6,1,1,298.0,0.0,0,0,0,0
3633,0,7,2,4,0,1,275.5,0.0,1,0,0,0
429,0,7,34,0,0,1,1394.6666666666667,0.0,1,0,0,0
3918,1,6,50,2,0,1,1153.25,0.0,1,1,0,0
1433,0,6,58,4,0,1,485.4906,0.0,1,0,0,0
266,1,8,17,1,0,1,1433.0,1.0,1,1,0,0
287,1,6,27,3,0,1,849.5,1.0,1,0,0,1
122,0,12,50,4,0,0,485.4906,1.0,1,1,0,0
450,0,11,56,3,0,1,122.0,0.0,1,0,1,0
133,1,6,27,0,0,1,286.0,0.0,1,0,0,0
930,1,12,39,3,0,0,235.0,0.0,1,0,0,0
302,1,7,8,1,0,1,408.75,1.0,1,1,0,0
244,1,7,13,4,0,1,387.4,1.0,1,0,0,0
187,0,7,25,2,0,1,485.4906,1.0,1,0,0,1
196,0,6,14,5,1,1,187.0,0.0,1,0,0,0
185,0,7,7,6,1,1,191.5,0.0,1,0,0,0
142,0,12,22,2,0,0,189.33333333333334,0.0,1,0,0,1
258,0,13,16,4,0,0,177.5,0.0,1,0,1,0
2408,0,12,22,2,0,0,193.6,0.0,1,0,0,0
422,0,6,37,0,0,1,485.4906,0.0,1,1,0,0
310,0,7,1,2,0,1,422.0,0.0,1,0,1,0
269,0,6,53,2,0,1,366.0,0.0,1,0,0,0
528,0,7,6,1,0,1,333.6666666666667,0.0,1,0,0,0
66,0,7,0,3,0,1,382.25,0.0,1,0,0,1
189,0,7,31,4,0,1,319.0,0.0,1,0,0,0
371,0,6,26,5,1,1,272.4,0.0,1,1,0,0
396,1,13,15,0,0,0,284.6,0.0,1,0,0,0
3412,0,7,8,2,0,1,485.4906,0.0,1,0,1,0
134,0,7,34,6,1,1,3412.0,0.0,1,0,0,0
472,0,6,26,4,0,1,1773.0,0.0,1,0,0,0
74,0,7,43,3,0,1,1339.3333333333333,0.0,1,1,0,0
172,1,7,6,5,1,1,1023.0,0.0,1,0,0,0
428,0,12,13,2,0,0,485.4906,0.0,1,1,0,0
262,0,6,40,4,0,1,428.0,0.0,1,0,0,0
348,0,6,55,6,1,1,345.0,0.0,1,0,0,0
193,0,12,21,5,1,0,346.0,0.0,1,0,0,0
507,0,7,21,6,1,1,307.75,0.0,1,1,0,0
508,0,13,37,2,0,0,485.4906,0.0,1,0,1,0
173,0,7,5,5,1,1,508.0,0.0,1,1,0,0
105,0,7,26,6,1,1,340.5,0.0,1,0,0,1
486,0,12,50,3,0,0,262.0,0.0,1,0,1,0
151,0,6,59,5,1,1,318.0,0.0,1,0,0,0
1268,1,13,10,3,0,0,284.6,0.0,1,1,0,0
89,1,6,7,5,1,1,436.6,1.0,1,0,0,0
402,0,12,4,6,1,0,485.4906,1.0,1,0,0,0
60,0,6,56,3,0,1,402.0,0.0,1,0,0,0
323,0,12,26,6,1,0,231.0,0.0,1,1,0,0
319,0,13,10,5,1,0,261.6666666666667,0.0,1,0,1,0
423,0,13,12,0,0,0,276.0,0.0,1,0,1,0
394,0,13,19,2,0,0,305.4,0.0,1,0,0,0
81,0,6,35,0,0,1,303.8,0.0,1,0,0,0
247,0,7,12,3,0,1,485.4906,0.0,1,0,1,0
159,0,6,40,3,0,1,247.0,0.0,1,0,0,0
341,0,13,53,2,0,0,203.0,0.0,1,1,0,0
170,0,6,46,2,0,1,249.0,0.0,1,0,0,1
313,1,6,52,4,0,1,229.25,0.0,1,1,0,0
344,0,6,57,5,1,1,485.4906,0.0,1,0,1,0
92,0,7,4,0,0,1,344.0,0.0,1,0,0,0
1097,0,6,44,6,1,1,218.0,0.0,1,0,1,0
819,0,13,26,5,1,0,511.0,1.0,1,0,0,0
1427,0,13,6,3,0,0,588.0,2.0,1,0,0,0
244,0,12,40,1,0,0,755.8,3.0,1,0,0,1
314,0,6,24,5,1,1,735.8,3.0,1,0,1,0
327,0,7,19,5,1,1,485.4906,3.0,1,0,1,0
150,0,6,53,4,0,1,327.0,0.0,0,0,0,1
332,0,6,53,3,0,1,238.5,0.0,1,1,0,0
1417,0,7,16,0,0,1,269.6666666666667,0.0,1,0,0,1
79,0,6,28,6,1,1,556.5,1.0,1,0,0,0
102,0,13,40,3,0,0,461.0,1.0,1,0,0,0
205,0,6,53,1,0,1,416.0,1.0,1,1,0,0
281,1,5,53,0,0,1,427.0,1.0,1,1,0,0
165,0,13,41,1,0,0,485.4906,1.0,1,0,0,0
201,0,6,59,4,0,1,165.0,0.0,1,0,0,0
381,1,6,54,4,0,1,183.0,0.0,1,0,1,0
460,0,7,44,3,0,1,485.4906,0.0,1,0,0,0
84,0,8,0,1,0,1,460.0,0.0,1,0,0,0
256,0,13,28,3,0,0,272.0,0.0,1,0,0,0
111,0,6,50,1,0,1,266.6666666666667,0.0,1,0,0,0
74,0,6,21,0,0,1,227.75,0.0,1,0,0,0
302,0,13,1,1,0,0,197.0,0.0,1,0,0,0
383,0,7,32,2,0,1,165.4,0.0,1,0,0,0
430,0,7,14,4,0,1,225.2,0.0,1,0,1,0
139,1,6,49,5,1,1,260.0,0.0,1,0,0,0
1487,1,7,7,2,0,1,265.6,0.0,1,0,1,0
249,0,7,43,1,0,1,485.4906,0.0,1,1,0,0
125,0,7,7,6,1,1,249.0,0.0,1,0,0,1
164,0,7,19,3,0,1,187.0,0.0,1,0,0,0
528,0,7,13,1,0,1,179.33333333333334,0.0,1,0,0,0
96,0,6,58,0,0,1,266.5,0.0,1,0,1,0
323,0,13,17,0,0,0,232.4,0.0,1,0,0,0
265,0,7,7,5,1,1,247.2,0.0,1,0,0,1
118,0,7,7,3,0,1,275.2,0.0,1,1,0,0
132,0,13,48,2,0,0,485.4906,0.0,1,1,0,0
275,0,12,58,2,0,0,132.0,0.0,1,1,0,0
123,0,6,31,0,0,1,203.5,0.0,1,0,0,0
447,0,7,31,3,0,1,176.66666666666666,0.0,1,1,0,0
500,0,6,55,6,1,1,244.25,0.0,1,1,0,0
354,0,7,5,4,0,1,295.4,0.0,1,0,0,0
419,1,6,8,0,0,1,339.8,0.0,1,1,0,0
181,1,12,58,0,0,0,368.6,0.0,1,0,0,0
109,0,6,18,1,0,1,485.4906,0.0,1,0,0,0
198,0,11,59,6,1,1,109.0,0.0,1,1,0,0
179,0,12,58,0,0,0,153.5,0.0,1,0,1,0
520,0,12,48,0,0,0,162.0,0.0,1,0,0,0
418,0,7,18,1,0,1,251.5,0.0,1,0,0,0
372,0,7,0,2,0,1,284.8,0.0,1,1,0,0
83,0,12,10,0,0,0,337.4,0.0,1,0,0,0
441,1,13,1,1,0,0,314.4,0.0,1,0,0,1
298,1,7,2,3,0,1,366.8,0.0,1,1,0,0
246,0,6,42,4,0,1,485.4906,0.0,1,0,1,0
72,0,7,12,4,0,1,246.0,0.0,1,0,0,0
341,0,12,45,0,0,0,159.0,0.0,1,0,1,0
298,0,13,35,2,0,0,219.66666666666666,0.0,1,1,0,0
486,0,7,43,6,1,1,239.25,0.0,1,0,1,0
177,0,6,56,3,0,1,288.6,0.0,1,1,0,0
155,1,12,43,6,1,0,274.8,0.0,1,1,0,0
265,0,6,52,4,0,1,485.4906,0.0,1,0,0,0
351,0,13,10,6,1,0,265.0,0.0,1,0,0,1
68,0,6,40,4,0,1,308.0,0.0,1,0,0,0
322,0,13,16,2,0,0,228.0,0.0,1,1,0,0
168,0,12,56,0,0,0,251.5,0.0,1,0,1,0
447,0,6,23,6,1,1,234.8,0.0,1,1,0,0
68,1,12,34,5,1,0,271.2,0.0,1,1,0,0
73,0,7,14,4,0,1,485.4906,0.0,1,0,0,1
309,0,12,24,1,0,0,73.0,0.0,1,0,0,0
534,0,7,20,6,1,1,191.0,0.0,1,0,0,0
365,0,7,6,1,0,1,305.3333333333333,0.0,1,0,0,0
477,0,7,15,1,0,1,320.25,0.0,1,0,0,0
88,0,12,27,2,0,0,351.6,0.0,1,1,0,0
456,0,12,38,3,0,0,354.6,0.0,1,0,0,0
304,0,7,9,3,0,1,384.0,0.0,1,0,0,0
385,1,6,56,2,0,1,338.0,0.0,1,1,0,0
940,0,12,37,4,0,0,485.4906,0.0,1,0,0,0
408,0,12,25,4,0,0,940.0,1.0,1,0,0,1
108,0,12,13,2,0,0,674.0,1.0,1,0,0,0
126,0,13,13,1,0,0,485.3333333333333,1.0,1,1,0,0
271,0,14,18,5,1,0,395.5,1.0,1,1,0,0
441,0,7,6,3,0,1,370.6,1.0,1,0,0,0
2833,0,7,31,3,0,1,270.8,1.0,1,0,1,0
92,0,6,43,4,0,1,755.8,1.0,1,0,1,0
475,0,13,10,1,0,0,752.6,1.0,1,0,0,0
97,1,12,32,2,0,0,822.4,1.0,1,0,0,0
164,1,6,16,2,0,1,485.4906,1.0,1,0,1,0
489,1,7,7,3,0,1,164.0,0.0,1,0,0,0
2942,0,6,46,2,0,1,485.4906,0.0,1,0,0,0
198,0,6,51,0,0,1,2942.0,0.0,1,0,0,0
297,0,12,54,0,0,0,1570.0,0.0,1,0,1,0
65,0,8,1,3,0,1,1145.6666666666667,0.0,1,0,0,1
969,0,7,58,5,1,1,875.5,0.0,1,1,0,0
82,0,13,24,0,0,0,894.2,1.0,1,0,0,0
1896,1,7,16,2,0,1,322.2,1.0,1,0,0,1
463,1,6,59,3,0,1,661.8,1.0,1,0,0,0
85,0,6,51,5,1,1,485.4906,1.0,1,0,1,0
452,0,6,0,4,0,1,85.0,0.0,1,0,0,0
265,0,6,41,1,0,1,268.5,0.0,1,1,0,0
143,0,12,5,0,0,0,267.3333333333333,0.0,1,1,0,0
521,0,12,40,1,0,0,236.25,0.0,1,1,0,0
60,0,6,39,5,1,1,293.2,0.0,1,1,0,0
470,1,7,21,5,1,1,288.2,0.0,0,0,0,1
91,0,6,59,3,0,1,485.4906,0.0,1,1,0,0
379,0,8,8,6,1,1,91.0,0.0,1,0,0,0
336,0,7,55,1,0,1,235.0,0.0,1,0,0,0
1318,0,7,13,0,0,1,268.6666666666667,0.0,1,0,0,0
768,0,6,57,4,0,1,531.0,1.0,1,0,0,0
418,0,8,7,4,0,1,578.4,2.0,1,0,0,0
154,1,13,19,1,0,0,643.8,2.0,1,0,0,1
172,1,13,4,6,1,0,598.8,2.0,1,0,0,1
